Year,Adjusted savings: carbon dioxide damage (% of GNI),Adjusted savings: carbon dioxide damage (current US$),CO2 emissions (kg per 2010 US$ of GDP),CO2 emissions (kg per 2011 PPP $ of GDP),CO2 emissions (kg per PPP $ of GDP),CO2 emissions (kt),CO2 emissions (metric tons per capita),"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",CO2 emissions from gaseous fuel consumption (% of total),CO2 emissions from gaseous fuel consumption (kt),CO2 emissions from liquid fuel consumption (% of total),CO2 emissions from liquid fuel consumption (kt),CO2 emissions from manufacturing industries and construction (% of total fuel combustion),"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),CO2 emissions from solid fuel consumption (% of total),CO2 emissions from solid fuel consumption (kt),CO2 emissions from transport (% of total fuel combustion),CO2 intensity (kg per kg of oil equivalent energy use),Nitrous oxide emissions (thousand metric tons of CO2 equivalent),Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),Nitrous oxide emissions in energy sector (% of total),Nitrous oxide emissions (% change from 1990),SF6 gas emissions (thousand metric tons of CO2 equivalent),Methane emissions (% change from 1990),Methane emissions in energy sector (thousand metric tons of CO2 equivalent),Methane emissions (kt of CO2 equivalent),Agricultural methane emissions (% of total),Agricultural nitrous oxide emissions (% of total),Agricultural methane emissions (thousand metric tons of CO2 equivalent),Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),Other greenhouse gas emissions (% change from 1990),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",Total greenhouse gas emissions (% change from 1990),Total greenhouse gas emissions (kt of CO2 equivalent)
1960,..,..,0.62,..,..,37392.40,1.71,..,4.92,1840.83,58.45,21855.32,..,..,..,1.64,612.39,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,..,..,0.55,..,..,36541.66,1.63,..,5.21,1903.17,52.93,19339.76,..,..,..,1.44,524.38,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1962,..,..,0.52,..,..,37462.07,1.62,..,5.44,2038.85,49.98,18723.70,..,..,..,1.45,542.72,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1963,..,..,0.54,..,..,41341.76,1.75,..,5.34,2207.53,49.08,20289.51,..,..,..,1.46,605.06,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1964,..,..,0.57,..,..,47560.99,1.96,..,4.86,2310.21,49.60,23589.81,..,..,..,1.53,726.07,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1965,..,..,0.55,..,..,53765.55,2.15,..,4.43,2379.88,45.84,24645.91,..,..,..,1.40,755.40,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1966,..,..,0.59,..,..,64161.50,2.50,..,4.18,2684.24,41.04,26329.06,..,..,..,1.18,755.40,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1967,..,..,0.56,..,..,67942.18,2.58,..,4.18,2841.93,40.67,27630.85,..,..,..,1.13,770.07,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1968,..,..,0.59,..,..,82404.82,3.05,..,3.69,3039.94,44.33,36530.65,..,..,..,0.96,788.41,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1969,..,..,0.52,..,..,83116.22,2.99,..,10.86,9028.15,34.55,28716.28,..,..,..,1.57,1301.79,..,..,..,0.00,..,..,..,..,0.00,..,..,..,0.00,0.00,..,..,..,..
1970,1.40,122827130.89,0.52,..,..,91873.02,3.22,..,22.40,20575.54,35.64,32746.31,..,..,..,1.37,1261.45,..,..,8849.63,516.47,5.84,..,..,..,36085.18,52012.90,23.90,80.36,12428.90,7111.39,..,0.00,..,141820.33
1971,1.34,144578669.19,0.50,..,..,101722.58,3.47,26.95,17.74,18041.64,38.72,39387.25,22.94,5.01,25.74,1.41,1430.13,19.36,6.13,9017.40,542.84,6.02,..,..,..,39453.02,55205.60,21.95,79.95,12117.71,7209.57,..,92.15,..,150900.25
1972,1.19,159366492.24,0.46,..,..,106115.65,3.53,25.98,16.47,17480.59,35.87,38067.13,22.60,5.05,27.16,2.29,2427.55,19.23,6.52,9401.93,598.33,6.36,..,..,..,44577.30,60712.90,20.36,78.55,12359.53,7384.78,..,199.10,..,167062.93
1973,1.00,207574693.75,0.52,..,..,129595.45,4.19,27.07,14.82,19204.08,39.49,51180.32,22.17,5.27,25.57,2.06,2665.91,19.92,6.28,10257.44,729.39,7.11,..,..,..,52057.45,68925.70,18.77,76.63,12939.19,7860.28,..,431.45,..,194611.59
1974,0.71,254175305.70,0.55,..,..,143911.42,4.53,26.81,16.81,24194.87,41.83,60204.81,21.56,5.30,25.73,2.11,3039.94,20.62,5.86,10852.98,803.40,7.40,..,..,..,52524.41,69785.20,18.88,76.57,13175.79,8309.65,..,596.60,..,204615.78
1975,0.70,271999794.06,0.53,..,..,139349.67,4.26,25.57,16.44,22907.75,46.92,65382.61,21.09,5.63,25.69,1.88,2618.24,22.03,5.23,10801.83,873.99,8.09,..,..,..,46184.02,63628.90,20.73,75.70,13190.80,8177.10,..,844.75,..,202141.48
